
Atualizado - Pokemon | 2 - Ivysaur
Atualizado - Pokemon Stat | Pokemon ID: 18 - Stat ID: 3 - Base Stat: 75 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 18 - Stat ID: 4 - Base Stat: 70 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 18 - Stat ID: 5 - Base Stat: 70 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 18 - Stat ID: 6 - Base Stat: 101 - Effort: 3

Já cadastrado  - Pokemon Color | Pokemon ID: 18 - Color ID: 3

Já cadastrado  - Pokemon Egg Groups | Pokemon ID: 18 - Egg Group ID: 4

Já cadastrado  - Pokemon Generation | Pokemon ID: 18 - Generation ID: 1

Já cadastrado  - Pokemon Habitat | Pokemon ID: 18 - Habitat ID: 2

Já cadastrado  - Pokemon Shape | Pokemon ID: 18 - Shape ID: 9


Já cadastrado  - Pokemon Evolution Chain | Pokemon ID From: 16 - Pokemon Id To: 17 - Pokemon Evolution: 1
Já cadastrado  - Pokemon Evolution Chain | Pokemon ID From: 17 - Pokemon Id To: 18 - Pokemon Evolution: 2
Atualizado - Pokemon | 19 - Rattata

Já cadastrado  - Pokemon Type | Pokemon ID: 19 - Type ID: 1 - Type Order: 1

Já cadastrado  - Pokemon Ability | Pokemon ID: 19 - Ability Id: 50
Já cadastrado  - Pokemon Ability | Pokemon ID: 19 - Ability Id: 62
Já cadastrado  - Pokemon Ability | Pokemon ID: 19 - Ability Id: 55

Atualizado - Pokemon Stat | Pokemon ID: 19 - Stat ID: 1 - Base Stat: 30 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 19 - Stat ID: 2 - Base Stat: 56 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 19 - Stat ID: 3 - Base Stat: 35 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 19 - Stat ID: 4 - Base Stat: 25 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 19 - Stat ID: 5 - Base Stat: 35 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 19 - Stat ID: 6 - Base Stat: 72 - Effort: 1

Já cadastrado  - Pokemon Color | Pokemon ID: 19 - Color ID: 7

Já cadastrado  - Pokemon Egg Groups | Pokemon ID: 19 - Egg Group ID: 5

Já cadastrado  - Pokemon Generation | Pokemon ID: 19 - Generation ID: 1

Já cadastrado  - Pokemon Habitat | Pokemon ID: 19 - Habitat ID: 3

Já cadastrado  - Pokemon Shape | Pokemon ID: 19 - Shape ID: 8


Já cadastrado  - Pokemon Evolution Chain | Pokemon ID From: 19 - Pokemon Id To: 20 - Pokemon Evolution: 1
Atualizado - Pokemon | 20 - Raticate

Já cadastrado  - Pokemon Type | Pokemon ID: 20 - Type ID: 1 - Type Order: 1

Já cadastrado  - Pokemon Ability | Pokemon ID: 20 - Ability Id: 50
Já cadastrado  - Pokemon Ability | Pokemon ID: 20 - Ability Id: 62
Já cadastrado  - Pokemon Ability | Pokemon ID: 20 - Ability Id: 55

Atualizado - Pokemon Stat | Pokemon ID: 20 - Stat ID: 1 - Base Stat: 55 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 20 - Stat ID: 2 - Base Stat: 81 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 20 - Stat ID: 3 - Base Stat: 60 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 20 - Stat ID: 4 - Base Stat: 50 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 20 - Stat ID: 5 - Base Stat: 70 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 20 - Stat ID: 6 - Base Stat: 97 - Effort: 2

Já cadastrado  - Pokemon Color | Pokemon ID: 20 - Color ID: 3

Já cadastrado  - Pokemon Egg Groups | Pokemon ID: 20 - Egg Group ID: 5

Já cadastrado  - Pokemon Generation | Pokemon ID: 20 - Generation ID: 1

Já cadastrado  - Pokemon Habitat | Pokemon ID: 20 - Habitat ID: 3

Já cadastrado  - Pokemon Shape | Pokemon ID: 20 - Shape ID: 8


Já cadastrado  - Pokemon Evolution Chain | Pokemon ID From: 19 - Pokemon Id To: 20 - Pokemon Evolution: 1
Atualizado - Pokemon | 21 - Spearow

Já cadastrado  - Pokemon Type | Pokemon ID: 21 - Type ID: 1 - Type Order: 1
Já cadastrado  - Pokemon Type | Pokemon ID: 21 - Type ID: 3 - Type Order: 2

Já cadastrado  - Pokemon Ability | Pokemon ID: 21 - Ability Id: 51
Já cadastrado  - Pokemon Ability | Pokemon ID: 21 - Ability Id: 97

Atualizado - Pokemon Stat | Pokemon ID: 21 - Stat ID: 1 - Base Stat: 40 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 21 - Stat ID: 2 - Base Stat: 60 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 21 - Stat ID: 3 - Base Stat: 30 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 21 - Stat ID: 4 - Base Stat: 31 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 21 - Stat ID: 5 - Base Stat: 31 - Effort: 0
Atualizado - Pokemon Stat | Pokemon ID: 21 - Stat ID: 6 - Base Stat: 70 - Effort: 1

Já cadastrado  - Pokemon Color | Pokemon ID: 21 - Color ID: 3

Já cadastrado  - Pokemon Egg Groups | Pokemon ID: 21 - Egg Group ID: 4

Já cadastrado  - Pokemon Generation | Pokemon ID: 21 - Generation ID: 1

Já cadastrado  - Pokemon Habitat | Pokemon ID: 21 - Habitat ID: 6

Já cadastrado  - Pokemon Shape | Pokemon ID: 21 - Shape ID: 9


Próximo Pokemon não está cadastrado  - Pokemon Evolution Chain | Pokemon ID From: 21 - Pokemon Id To: 22 - Pokemon Evolution: 1
Atualizado - Gender | Id: 1 - female - Feminino
Atualizado - Gender | Id: 2 - male - Masculino
Atualizado - Gender | Id: 3 - genderless - Sem Gênero
