Atualizado - Ability | 1 - Stench - Fedor
Cadastrado - Pokemon Stat | Pokemon ID: 48 - Stat ID: 3 - Base Stat: 50 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 48 - Stat ID: 4 - Base Stat: 40 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 48 - Stat ID: 5 - Base Stat: 55 - Effort: 1
Cadastrado - Pokemon Stat | Pokemon ID: 48 - Stat ID: 6 - Base Stat: 45 - Effort: 0

Cadastrado - Pokemon Color | Pokemon ID: 48 - Color ID: 7

Cadastrado - Pokemon Egg Groups | Pokemon ID: 48 - Egg Group ID: 3

Cadastrado - Pokemon Generation | Pokemon ID: 48 - Generation ID: 1

Cadastrado - Pokemon Habitat | Pokemon ID: 48 - Habitat ID: 2

Cadastrado - Pokemon Shape | Pokemon ID: 48 - Shape ID: 12

Próximo Pokemon não está cadastrado  - Pokemon Evolution Chain | Pokemon ID From: 48 - Pokemon Id To: 49 - Pokemon Evolution: 1


-------------------------

CadAStrado - Pokemon | 49 - Venomoth

Cadastrado - Pokemon Type | Pokemon ID: 49 - Type ID: 7 - Type Order: 1
Cadastrado - Pokemon Type | Pokemon ID: 49 - Type ID: 4 - Type Order: 2

Cadastrado - Pokemon Ability | Pokemon ID: 49 - Ability Id: 19
Cadastrado - Pokemon Ability | Pokemon ID: 49 - Ability Id: 110
Cadastrado - Pokemon Ability | Pokemon ID: 49 - Ability Id: 147

Cadastrado - Pokemon Stat | Pokemon ID: 49 - Stat ID: 1 - Base Stat: 70 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 49 - Stat ID: 2 - Base Stat: 65 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 49 - Stat ID: 3 - Base Stat: 60 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 49 - Stat ID: 4 - Base Stat: 90 - Effort: 1
Cadastrado - Pokemon Stat | Pokemon ID: 49 - Stat ID: 5 - Base Stat: 75 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 49 - Stat ID: 6 - Base Stat: 90 - Effort: 1

Cadastrado - Pokemon Color | Pokemon ID: 49 - Color ID: 7

Cadastrado - Pokemon Egg Groups | Pokemon ID: 49 - Egg Group ID: 3

Cadastrado - Pokemon Generation | Pokemon ID: 49 - Generation ID: 1

Cadastrado - Pokemon Habitat | Pokemon ID: 49 - Habitat ID: 2

Cadastrado - Pokemon Shape | Pokemon ID: 49 - Shape ID: 13

Cadastrado - Pokemon Evolution Chain | Pokemon ID From: 48 - Pokemon Id To: 49 - Pokemon Evolution: 1


-------------------------

CadAStrado - Pokemon | 50 - Diglett

Cadastrado - Pokemon Type | Pokemon ID: 50 - Type ID: 5 - Type Order: 1

Cadastrado - Pokemon Ability | Pokemon ID: 50 - Ability Id: 8
Cadastrado - Pokemon Ability | Pokemon ID: 50 - Ability Id: 71
Cadastrado - Pokemon Ability | Pokemon ID: 50 - Ability Id: 159

Cadastrado - Pokemon Stat | Pokemon ID: 50 - Stat ID: 1 - Base Stat: 10 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 50 - Stat ID: 2 - Base Stat: 55 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 50 - Stat ID: 3 - Base Stat: 25 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 50 - Stat ID: 4 - Base Stat: 35 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 50 - Stat ID: 5 - Base Stat: 45 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 50 - Stat ID: 6 - Base Stat: 95 - Effort: 1

Cadastrado - Pokemon Color | Pokemon ID: 50 - Color ID: 3

Cadastrado - Pokemon Egg Groups | Pokemon ID: 50 - Egg Group ID: 5

Cadastrado - Pokemon Generation | Pokemon ID: 50 - Generation ID: 1

Cadastrado - Pokemon Habitat | Pokemon ID: 50 - Habitat ID: 1

Cadastrado - Pokemon Shape | Pokemon ID: 50 - Shape ID: 5

Próximo Pokemon não está cadastrado  - Pokemon Evolution Chain | Pokemon ID From: 50 - Pokemon Id To: 51 - Pokemon Evolution: 1


-------------------------

CadAStrado - Pokemon | 51 - Dugtrio

Cadastrado - Pokemon Type | Pokemon ID: 51 - Type ID: 5 - Type Order: 1

Cadastrado - Pokemon Ability | Pokemon ID: 51 - Ability Id: 8
Cadastrado - Pokemon Ability | Pokemon ID: 51 - Ability Id: 71
Cadastrado - Pokemon Ability | Pokemon ID: 51 - Ability Id: 159

Cadastrado - Pokemon Stat | Pokemon ID: 51 - Stat ID: 1 - Base Stat: 35 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 51 - Stat ID: 2 - Base Stat: 100 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 51 - Stat ID: 3 - Base Stat: 50 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 51 - Stat ID: 4 - Base Stat: 50 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 51 - Stat ID: 5 - Base Stat: 70 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 51 - Stat ID: 6 - Base Stat: 120 - Effort: 2

Cadastrado - Pokemon Color | Pokemon ID: 51 - Color ID: 3

Cadastrado - Pokemon Egg Groups | Pokemon ID: 51 - Egg Group ID: 5

Cadastrado - Pokemon Generation | Pokemon ID: 51 - Generation ID: 1

Cadastrado - Pokemon Habitat | Pokemon ID: 51 - Habitat ID: 1

Cadastrado - Pokemon Shape | Pokemon ID: 51 - Shape ID: 11

Cadastrado - Pokemon Evolution Chain | Pokemon ID From: 50 - Pokemon Id To: 51 - Pokemon Evolution: 1


-------------------------

CadAStrado - Pokemon | 52 - Meowth

Cadastrado - Pokemon Type | Pokemon ID: 52 - Type ID: 1 - Type Order: 1

Cadastrado - Pokemon Ability | Pokemon ID: 52 - Ability Id: 53
Cadastrado - Pokemon Ability | Pokemon ID: 52 - Ability Id: 101
Cadastrado - Pokemon Ability | Pokemon ID: 52 - Ability Id: 127

Cadastrado - Pokemon Stat | Pokemon ID: 52 - Stat ID: 1 - Base Stat: 40 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 52 - Stat ID: 2 - Base Stat: 45 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 52 - Stat ID: 3 - Base Stat: 35 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 52 - Stat ID: 4 - Base Stat: 40 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 52 - Stat ID: 5 - Base Stat: 40 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 52 - Stat ID: 6 - Base Stat: 90 - Effort: 1

Cadastrado - Pokemon Color | Pokemon ID: 52 - Color ID: 10

Cadastrado - Pokemon Egg Groups | Pokemon ID: 52 - Egg Group ID: 5

Cadastrado - Pokemon Generation | Pokemon ID: 52 - Generation ID: 1

Cadastrado - Pokemon Habitat | Pokemon ID: 52 - Habitat ID: 8

Cadastrado - Pokemon Shape | Pokemon ID: 52 - Shape ID: 8



-------------------------

CadAStrado - Pokemon | 53 - Persian

Cadastrado - Pokemon Type | Pokemon ID: 53 - Type ID: 1 - Type Order: 1

Cadastrado - Pokemon Ability | Pokemon ID: 53 - Ability Id: 7
Cadastrado - Pokemon Ability | Pokemon ID: 53 - Ability Id: 101
Cadastrado - Pokemon Ability | Pokemon ID: 53 - Ability Id: 127

Cadastrado - Pokemon Stat | Pokemon ID: 53 - Stat ID: 1 - Base Stat: 65 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 53 - Stat ID: 2 - Base Stat: 70 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 53 - Stat ID: 3 - Base Stat: 60 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 53 - Stat ID: 4 - Base Stat: 65 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 53 - Stat ID: 5 - Base Stat: 65 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 53 - Stat ID: 6 - Base Stat: 115 - Effort: 2

Cadastrado - Pokemon Color | Pokemon ID: 53 - Color ID: 10

Cadastrado - Pokemon Egg Groups | Pokemon ID: 53 - Egg Group ID: 5

Cadastrado - Pokemon Generation | Pokemon ID: 53 - Generation ID: 1

Cadastrado - Pokemon Habitat | Pokemon ID: 53 - Habitat ID: 8

Cadastrado - Pokemon Shape | Pokemon ID: 53 - Shape ID: 8



-------------------------

CadAStrado - Pokemon | 54 - Psyduck

Cadastrado - Pokemon Type | Pokemon ID: 54 - Type ID: 11 - Type Order: 1

Cadastrado - Pokemon Ability | Pokemon ID: 54 - Ability Id: 6
Cadastrado - Pokemon Ability | Pokemon ID: 54 - Ability Id: 13
Cadastrado - Pokemon Ability | Pokemon ID: 54 - Ability Id: 33

Cadastrado - Pokemon Stat | Pokemon ID: 54 - Stat ID: 1 - Base Stat: 50 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 54 - Stat ID: 2 - Base Stat: 52 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 54 - Stat ID: 3 - Base Stat: 48 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 54 - Stat ID: 4 - Base Stat: 65 - Effort: 1
Cadastrado - Pokemon Stat | Pokemon ID: 54 - Stat ID: 5 - Base Stat: 50 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 54 - Stat ID: 6 - Base Stat: 55 - Effort: 0

Cadastrado - Pokemon Color | Pokemon ID: 54 - Color ID: 10

Cadastrado - Pokemon Egg Groups | Pokemon ID: 54 - Egg Group ID: 2
Cadastrado - Pokemon Egg Groups | Pokemon ID: 54 - Egg Group ID: 5

Cadastrado - Pokemon Generation | Pokemon ID: 54 - Generation ID: 1

Cadastrado - Pokemon Habitat | Pokemon ID: 54 - Habitat ID: 9

Cadastrado - Pokemon Shape | Pokemon ID: 54 - Shape ID: 6

Próximo Pokemon não está cadastrado  - Pokemon Evolution Chain | Pokemon ID From: 54 - Pokemon Id To: 55 - Pokemon Evolution: 1


-------------------------

CadAStrado - Pokemon | 55 - Golduck

Cadastrado - Pokemon Type | Pokemon ID: 55 - Type ID: 11 - Type Order: 1

Cadastrado - Pokemon Ability | Pokemon ID: 55 - Ability Id: 6
Cadastrado - Pokemon Ability | Pokemon ID: 55 - Ability Id: 13
Cadastrado - Pokemon Ability | Pokemon ID: 55 - Ability Id: 33

Cadastrado - Pokemon Stat | Pokemon ID: 55 - Stat ID: 1 - Base Stat: 80 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 55 - Stat ID: 2 - Base Stat: 82 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 55 - Stat ID: 3 - Base Stat: 78 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 55 - Stat ID: 4 - Base Stat: 95 - Effort: 2
Cadastrado - Pokemon Stat | Pokemon ID: 55 - Stat ID: 5 - Base Stat: 80 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 55 - Stat ID: 6 - Base Stat: 85 - Effort: 0

Cadastrado - Pokemon Color | Pokemon ID: 55 - Color ID: 2

Cadastrado - Pokemon Egg Groups | Pokemon ID: 55 - Egg Group ID: 2
Cadastrado - Pokemon Egg Groups | Pokemon ID: 55 - Egg Group ID: 5

Cadastrado - Pokemon Generation | Pokemon ID: 55 - Generation ID: 1

Cadastrado - Pokemon Habitat | Pokemon ID: 55 - Habitat ID: 9

Cadastrado - Pokemon Shape | Pokemon ID: 55 - Shape ID: 6

Cadastrado - Pokemon Evolution Chain | Pokemon ID From: 54 - Pokemon Id To: 55 - Pokemon Evolution: 1


-------------------------

CadAStrado - Pokemon | 56 - Mankey

Cadastrado - Pokemon Type | Pokemon ID: 56 - Type ID: 2 - Type Order: 1

Cadastrado - Pokemon Ability | Pokemon ID: 56 - Ability Id: 72
Cadastrado - Pokemon Ability | Pokemon ID: 56 - Ability Id: 83
Cadastrado - Pokemon Ability | Pokemon ID: 56 - Ability Id: 128

Cadastrado - Pokemon Stat | Pokemon ID: 56 - Stat ID: 1 - Base Stat: 40 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 56 - Stat ID: 2 - Base Stat: 80 - Effort: 1
Cadastrado - Pokemon Stat | Pokemon ID: 56 - Stat ID: 3 - Base Stat: 35 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 56 - Stat ID: 4 - Base Stat: 35 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 56 - Stat ID: 5 - Base Stat: 45 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 56 - Stat ID: 6 - Base Stat: 70 - Effort: 0

Cadastrado - Pokemon Color | Pokemon ID: 56 - Color ID: 3

Cadastrado - Pokemon Egg Groups | Pokemon ID: 56 - Egg Group ID: 5

Cadastrado - Pokemon Generation | Pokemon ID: 56 - Generation ID: 1

Cadastrado - Pokemon Habitat | Pokemon ID: 56 - Habitat ID: 4

Cadastrado - Pokemon Shape | Pokemon ID: 56 - Shape ID: 6

Próximo Pokemon não está cadastrado  - Pokemon Evolution Chain | Pokemon ID From: 56 - Pokemon Id To: 57 - Pokemon Evolution: 1
Próximo Pokemon não está cadastrado  - Pokemon Evolution Chain | Pokemon ID From: 57 - Pokemon Id To: 979 - Pokemon Evolution: 2


-------------------------

CadAStrado - Pokemon | 57 - Primeape

Cadastrado - Pokemon Type | Pokemon ID: 57 - Type ID: 2 - Type Order: 1

Cadastrado - Pokemon Ability | Pokemon ID: 57 - Ability Id: 72
Cadastrado - Pokemon Ability | Pokemon ID: 57 - Ability Id: 83
Cadastrado - Pokemon Ability | Pokemon ID: 57 - Ability Id: 128

Cadastrado - Pokemon Stat | Pokemon ID: 57 - Stat ID: 1 - Base Stat: 65 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 57 - Stat ID: 2 - Base Stat: 105 - Effort: 2
Cadastrado - Pokemon Stat | Pokemon ID: 57 - Stat ID: 3 - Base Stat: 60 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 57 - Stat ID: 4 - Base Stat: 60 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 57 - Stat ID: 5 - Base Stat: 70 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 57 - Stat ID: 6 - Base Stat: 95 - Effort: 0

Cadastrado - Pokemon Color | Pokemon ID: 57 - Color ID: 3

Cadastrado - Pokemon Egg Groups | Pokemon ID: 57 - Egg Group ID: 5

Cadastrado - Pokemon Generation | Pokemon ID: 57 - Generation ID: 1

Cadastrado - Pokemon Habitat | Pokemon ID: 57 - Habitat ID: 4

Cadastrado - Pokemon Shape | Pokemon ID: 57 - Shape ID: 6

Cadastrado - Pokemon Evolution Chain | Pokemon ID From: 56 - Pokemon Id To: 57 - Pokemon Evolution: 1
Próximo Pokemon não está cadastrado  - Pokemon Evolution Chain | Pokemon ID From: 57 - Pokemon Id To: 979 - Pokemon Evolution: 2


-------------------------

CadAStrado - Pokemon | 58 - Growlithe

Cadastrado - Pokemon Type | Pokemon ID: 58 - Type ID: 10 - Type Order: 1

Cadastrado - Pokemon Ability | Pokemon ID: 58 - Ability Id: 22
Cadastrado - Pokemon Ability | Pokemon ID: 58 - Ability Id: 18
Cadastrado - Pokemon Ability | Pokemon ID: 58 - Ability Id: 154

Cadastrado - Pokemon Stat | Pokemon ID: 58 - Stat ID: 1 - Base Stat: 55 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 58 - Stat ID: 2 - Base Stat: 70 - Effort: 1
Cadastrado - Pokemon Stat | Pokemon ID: 58 - Stat ID: 3 - Base Stat: 45 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 58 - Stat ID: 4 - Base Stat: 70 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 58 - Stat ID: 5 - Base Stat: 50 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 58 - Stat ID: 6 - Base Stat: 60 - Effort: 0

Cadastrado - Pokemon Color | Pokemon ID: 58 - Color ID: 3

Cadastrado - Pokemon Egg Groups | Pokemon ID: 58 - Egg Group ID: 5

Cadastrado - Pokemon Generation | Pokemon ID: 58 - Generation ID: 1

Cadastrado - Pokemon Habitat | Pokemon ID: 58 - Habitat ID: 3

Cadastrado - Pokemon Shape | Pokemon ID: 58 - Shape ID: 8

Próximo Pokemon não está cadastrado  - Pokemon Evolution Chain | Pokemon ID From: 58 - Pokemon Id To: 59 - Pokemon Evolution: 1


-------------------------

CadAStrado - Pokemon | 59 - Arcanine

Cadastrado - Pokemon Type | Pokemon ID: 59 - Type ID: 10 - Type Order: 1

Cadastrado - Pokemon Ability | Pokemon ID: 59 - Ability Id: 22
Cadastrado - Pokemon Ability | Pokemon ID: 59 - Ability Id: 18
Cadastrado - Pokemon Ability | Pokemon ID: 59 - Ability Id: 154

Cadastrado - Pokemon Stat | Pokemon ID: 59 - Stat ID: 1 - Base Stat: 90 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 59 - Stat ID: 2 - Base Stat: 110 - Effort: 2
Cadastrado - Pokemon Stat | Pokemon ID: 59 - Stat ID: 3 - Base Stat: 80 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 59 - Stat ID: 4 - Base Stat: 100 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 59 - Stat ID: 5 - Base Stat: 80 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 59 - Stat ID: 6 - Base Stat: 95 - Effort: 0

Cadastrado - Pokemon Color | Pokemon ID: 59 - Color ID: 3

Cadastrado - Pokemon Egg Groups | Pokemon ID: 59 - Egg Group ID: 5

Cadastrado - Pokemon Generation | Pokemon ID: 59 - Generation ID: 1

Cadastrado - Pokemon Habitat | Pokemon ID: 59 - Habitat ID: 3

Cadastrado - Pokemon Shape | Pokemon ID: 59 - Shape ID: 8

Cadastrado - Pokemon Evolution Chain | Pokemon ID From: 58 - Pokemon Id To: 59 - Pokemon Evolution: 1


-------------------------

CadAStrado - Pokemon | 60 - Poliwag

Cadastrado - Pokemon Type | Pokemon ID: 60 - Type ID: 11 - Type Order: 1

Cadastrado - Pokemon Ability | Pokemon ID: 60 - Ability Id: 11
Cadastrado - Pokemon Ability | Pokemon ID: 60 - Ability Id: 6
Cadastrado - Pokemon Ability | Pokemon ID: 60 - Ability Id: 33

Cadastrado - Pokemon Stat | Pokemon ID: 60 - Stat ID: 1 - Base Stat: 40 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 60 - Stat ID: 2 - Base Stat: 50 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 60 - Stat ID: 3 - Base Stat: 40 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 60 - Stat ID: 4 - Base Stat: 40 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 60 - Stat ID: 5 - Base Stat: 40 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 60 - Stat ID: 6 - Base Stat: 90 - Effort: 1

Cadastrado - Pokemon Color | Pokemon ID: 60 - Color ID: 2

Cadastrado - Pokemon Egg Groups | Pokemon ID: 60 - Egg Group ID: 2

Cadastrado - Pokemon Generation | Pokemon ID: 60 - Generation ID: 1

Cadastrado - Pokemon Habitat | Pokemon ID: 60 - Habitat ID: 9

Cadastrado - Pokemon Shape | Pokemon ID: 60 - Shape ID: 7

Próximo Pokemon não está cadastrado  - Pokemon Evolution Chain | Pokemon ID From: 60 - Pokemon Id To: 61 - Pokemon Evolution: 1


-------------------------

CadAStrado - Pokemon | 61 - Poliwhirl

Cadastrado - Pokemon Type | Pokemon ID: 61 - Type ID: 11 - Type Order: 1

Cadastrado - Pokemon Ability | Pokemon ID: 61 - Ability Id: 11
Cadastrado - Pokemon Ability | Pokemon ID: 61 - Ability Id: 6
Cadastrado - Pokemon Ability | Pokemon ID: 61 - Ability Id: 33

Cadastrado - Pokemon Stat | Pokemon ID: 61 - Stat ID: 1 - Base Stat: 65 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 61 - Stat ID: 2 - Base Stat: 65 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 61 - Stat ID: 3 - Base Stat: 65 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 61 - Stat ID: 4 - Base Stat: 50 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 61 - Stat ID: 5 - Base Stat: 50 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 61 - Stat ID: 6 - Base Stat: 90 - Effort: 2

Cadastrado - Pokemon Color | Pokemon ID: 61 - Color ID: 2

Cadastrado - Pokemon Egg Groups | Pokemon ID: 61 - Egg Group ID: 2

Cadastrado - Pokemon Generation | Pokemon ID: 61 - Generation ID: 1

Cadastrado - Pokemon Habitat | Pokemon ID: 61 - Habitat ID: 9

Cadastrado - Pokemon Shape | Pokemon ID: 61 - Shape ID: 12

Cadastrado - Pokemon Evolution Chain | Pokemon ID From: 60 - Pokemon Id To: 61 - Pokemon Evolution: 1


-------------------------

CadAStrado - Pokemon | 62 - Poliwrath

Cadastrado - Pokemon Type | Pokemon ID: 62 - Type ID: 11 - Type Order: 1
Cadastrado - Pokemon Type | Pokemon ID: 62 - Type ID: 2 - Type Order: 2

Cadastrado - Pokemon Ability | Pokemon ID: 62 - Ability Id: 11
Cadastrado - Pokemon Ability | Pokemon ID: 62 - Ability Id: 6
Cadastrado - Pokemon Ability | Pokemon ID: 62 - Ability Id: 33

Cadastrado - Pokemon Stat | Pokemon ID: 62 - Stat ID: 1 - Base Stat: 90 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 62 - Stat ID: 2 - Base Stat: 95 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 62 - Stat ID: 3 - Base Stat: 95 - Effort: 3
Cadastrado - Pokemon Stat | Pokemon ID: 62 - Stat ID: 4 - Base Stat: 70 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 62 - Stat ID: 5 - Base Stat: 90 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 62 - Stat ID: 6 - Base Stat: 70 - Effort: 0

Cadastrado - Pokemon Color | Pokemon ID: 62 - Color ID: 2

Cadastrado - Pokemon Egg Groups | Pokemon ID: 62 - Egg Group ID: 2

Cadastrado - Pokemon Generation | Pokemon ID: 62 - Generation ID: 1

Cadastrado - Pokemon Habitat | Pokemon ID: 62 - Habitat ID: 9

Cadastrado - Pokemon Shape | Pokemon ID: 62 - Shape ID: 12

Já cadastrado  - Pokemon Evolution Chain | Pokemon ID From: 60 - Pokemon Id To: 61 - Pokemon Evolution: 1


-------------------------

CadAStrado - Pokemon | 63 - Abra

Cadastrado - Pokemon Type | Pokemon ID: 63 - Type ID: 14 - Type Order: 1

Cadastrado - Pokemon Ability | Pokemon ID: 63 - Ability Id: 28
Cadastrado - Pokemon Ability | Pokemon ID: 63 - Ability Id: 39
Cadastrado - Pokemon Ability | Pokemon ID: 63 - Ability Id: 98

Cadastrado - Pokemon Stat | Pokemon ID: 63 - Stat ID: 1 - Base Stat: 25 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 63 - Stat ID: 2 - Base Stat: 20 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 63 - Stat ID: 3 - Base Stat: 15 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 63 - Stat ID: 4 - Base Stat: 105 - Effort: 1
Cadastrado - Pokemon Stat | Pokemon ID: 63 - Stat ID: 5 - Base Stat: 55 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 63 - Stat ID: 6 - Base Stat: 90 - Effort: 0

Cadastrado - Pokemon Color | Pokemon ID: 63 - Color ID: 3

Cadastrado - Pokemon Egg Groups | Pokemon ID: 63 - Egg Group ID: 8

Cadastrado - Pokemon Generation | Pokemon ID: 63 - Generation ID: 1

Cadastrado - Pokemon Habitat | Pokemon ID: 63 - Habitat ID: 8

Cadastrado - Pokemon Shape | Pokemon ID: 63 - Shape ID: 6

Próximo Pokemon não está cadastrado  - Pokemon Evolution Chain | Pokemon ID From: 63 - Pokemon Id To: 64 - Pokemon Evolution: 1
Próximo Pokemon não está cadastrado  - Pokemon Evolution Chain | Pokemon ID From: 64 - Pokemon Id To: 65 - Pokemon Evolution: 2


-------------------------

CadAStrado - Pokemon | 64 - Kadabra

Cadastrado - Pokemon Type | Pokemon ID: 64 - Type ID: 14 - Type Order: 1

Cadastrado - Pokemon Ability | Pokemon ID: 64 - Ability Id: 28
Cadastrado - Pokemon Ability | Pokemon ID: 64 - Ability Id: 39
Cadastrado - Pokemon Ability | Pokemon ID: 64 - Ability Id: 98

Cadastrado - Pokemon Stat | Pokemon ID: 64 - Stat ID: 1 - Base Stat: 40 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 64 - Stat ID: 2 - Base Stat: 35 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 64 - Stat ID: 3 - Base Stat: 30 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 64 - Stat ID: 4 - Base Stat: 120 - Effort: 2
Cadastrado - Pokemon Stat | Pokemon ID: 64 - Stat ID: 5 - Base Stat: 70 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 64 - Stat ID: 6 - Base Stat: 105 - Effort: 0

Cadastrado - Pokemon Color | Pokemon ID: 64 - Color ID: 3

Cadastrado - Pokemon Egg Groups | Pokemon ID: 64 - Egg Group ID: 8

Cadastrado - Pokemon Generation | Pokemon ID: 64 - Generation ID: 1

Cadastrado - Pokemon Habitat | Pokemon ID: 64 - Habitat ID: 8

Cadastrado - Pokemon Shape | Pokemon ID: 64 - Shape ID: 6

Cadastrado - Pokemon Evolution Chain | Pokemon ID From: 63 - Pokemon Id To: 64 - Pokemon Evolution: 1
Próximo Pokemon não está cadastrado  - Pokemon Evolution Chain | Pokemon ID From: 64 - Pokemon Id To: 65 - Pokemon Evolution: 2


-------------------------

CadAStrado - Pokemon | 65 - Alakazam

Cadastrado - Pokemon Type | Pokemon ID: 65 - Type ID: 14 - Type Order: 1

Cadastrado - Pokemon Ability | Pokemon ID: 65 - Ability Id: 28
Cadastrado - Pokemon Ability | Pokemon ID: 65 - Ability Id: 39
Cadastrado - Pokemon Ability | Pokemon ID: 65 - Ability Id: 98

Cadastrado - Pokemon Stat | Pokemon ID: 65 - Stat ID: 1 - Base Stat: 55 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 65 - Stat ID: 2 - Base Stat: 50 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 65 - Stat ID: 3 - Base Stat: 45 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 65 - Stat ID: 4 - Base Stat: 135 - Effort: 3
Cadastrado - Pokemon Stat | Pokemon ID: 65 - Stat ID: 5 - Base Stat: 95 - Effort: 0
Cadastrado - Pokemon Stat | Pokemon ID: 65 - Stat ID: 6 - Base Stat: 120 - Effort: 0

Cadastrado - Pokemon Color | Pokemon ID: 65 - Color ID: 3

Cadastrado - Pokemon Egg Groups | Pokemon ID: 65 - Egg Group ID: 8

Cadastrado - Pokemon Generation | Pokemon ID: 65 - Generation ID: 1

Cadastrado - Pokemon Habitat | Pokemon ID: 65 - Habitat ID: 8

